1011.00,87.00,16.59,2.00
1011.00,86.00,16.61,2.00
1011.00,86.00,16.68,2.00
1011.00,86.00,16.75,2.00
1011.00,86.00,16.82,2.00
1011.00,86.00,16.88,2.00
1011.00,85.00,16.95,2.00
1011.00,85.00,17.02,2.00
1011.00,85.00,17.09,2.00
1011.00,85.00,17.16,2.00
1011.00,85.00,17.22,2.00
1011.00,84.00,17.29,2.00
1011.00,84.00,17.36,2.00
1011.00,84.00,17.43,2.00
1011.00,84.00,17.49,2.00
1011.00,84.00,17.56,2.00
1011.00,83.00,17.63,2.00
1011.00,83.00,17.70,2.00
1011.00,83.00,17.77,2.00
1011.00,83.00,17.83,2.00
1011.00,83.00,17.90,2.00
1011.00,82.00,17.97,2.00
1011.00,82.00,18.04,2.00
1011.00,82.00,18.10,2.00
1011.00,82.00,18.17,2.00
1011.00,82.00,18.24,2.00
1012.00,77.00,20.82,4.00
1009.00,60.00,22.37,4.00
1009.00,44.00,24.29,4.00
1011.00,36.00,26.49,4.00
1010.00,40.00,27.04,4.00
1009.00,40.00,27.98,4.00
1009.00,34.00,27.97,4.00
1009.00,35.00,27.90,4.00
1009.00,26.00,27.19,4.00
1009.00,30.00,26.05,4.00
1010.00,38.00,23.68,4.00
1011.00,38.00,23.02,4.00
1011.00,43.00,22.84,4.00
1012.00,38.00,22.64,4.00
1012.00,46.00,21.73,4.00
1012.00,49.00,20.74,4.00
1012.00,56.00,19.54,2.00
1012.00,68.00,19.17,2.00
1012.00,63.00,18.68,2.00
1013.00,68.00,18.23,2.00
1013.00,68.00,17.93,2.00
1013.00,68.00,17.74,2.00
1014.00,68.00,17.54,2.00
1015.00,63.00,18.70,2.00
1015.00,62.00,19.89,2.00
1015.00,61.00,21.08,4.00
1015.00,61.00,22.27,4.00
1015.00,47.00,24.51,4.00
1014.00,41.00,25.68,4.00
1013.00,39.00,26.32,4.00
1013.00,39.00,26.12,4.00
1013.00,39.00,25.51,4.00
1013.00,39.00,24.90,4.00
1013.00,41.00,23.71,4.00
1013.00,44.00,21.77,4.00
1014.00,49.00,20.58,4.00
1014.00,56.00,19.97,2.00
1014.00,56.00,19.28,2.00
1014.00,64.00,18.72,2.00
1014.00,72.00,17.71,2.00
1015.00,60.00,17.41,2.00
1015.00,72.00,16.42,2.00
1014.00,68.00,16.31,2.00
1014.00,77.00,15.83,2.00
1015.00,72.00,15.42,2.00
1015.00,72.00,15.21,2.00
1015.00,92.00,15.90,2.00
1016.00,73.00,18.18,2.00
1016.00,59.00,20.73,4.00
1016.00,44.00,24.51,4.00
1016.00,36.00,26.19,4.00
1016.00,30.00,27.43,4.00
1015.00,30.00,28.00,4.00
1014.00,30.00,28.58,4.00
1014.00,28.00,28.44,4.00
1014.00,30.00,28.19,4.00
1014.00,28.00,27.37,4.00
1014.00,34.00,25.72,4.00
1015.00,38.00,24.26,4.00
